split,num_signals,mse_noisy,mse_glwt,mse_improvement_pct,snr_noisy_db,snr_glwt_db,snr_gain_db
train,144,0.09218411077639493,0.04939899137004621,46.41268332037159,14.160882936635934,16.87026282848883,2.7093798918528957
validation,48,0.0878592257777736,0.04910866529345045,44.1052833567379,13.908376042393606,16.434668453890218,2.5262924114966125
test,48,0.08880972634907688,0.05087385074718279,42.71590191910146,14.459758666228604,16.879417869624277,2.419659203395673
